Phase,Phase Name,Week,Week Dates,Workstream ID,Workstream,Task,Owner,Status,Est. Hours,Target Date,Notes
1,Contacts & Activity Capture,Wk 1,Apr 13-18,CRM-01,CRM Architecture & Setup,Review current HubSpot portal access and document baseline state,Sayer,Not Started,1.4,Apr 13-18,
1,Contacts & Activity Capture,Wk 1,Apr 13-18,CRM-01,CRM Architecture & Setup,"Configure portal name, logo, favicon, timezone, currency, and date format",Sayer,Not Started,1.4,Apr 13-18,
1,Contacts & Activity Capture,Wk 1,Apr 13-18,CRM-01,CRM Architecture & Setup,"Define user role structure: Admin, Sales Manager, Sales Rep",Sayer,Not Started,1.4,Apr 13-18,
1,Contacts & Activity Capture,Wk 1,Apr 13-18,CRM-01,CRM Architecture & Setup,"Create user accounts for all 10 users across 4 offices (Atlanta, Dallas, Denver, South Florida)",Sayer,Not Started,1.4,Apr 13-18,
1,Contacts & Activity Capture,Wk 1,Apr 13-18,CRM-01,CRM Architecture & Setup,Configure team structure: create teams by office location,Sayer,Not Started,1.4,Apr 13-18,
1,Contacts & Activity Capture,Wk 1,Apr 13-18,CRM-01,CRM Architecture & Setup,"Configure permission sets per role (contact visibility, deal access, report access)",Sayer,Not Started,1.4,Apr 13-18,
1,Contacts & Activity Capture,Wk 1,Apr 13-18,CRM-01,CRM Architecture & Setup,"Set up security settings: login notifications, 2FA requirements for admins",Sayer,Not Started,1.4,Apr 13-18,
1,Contacts & Activity Capture,Wk 1,Apr 13-18,CRM-01,CRM Architecture & Setup,"Establish naming conventions document for properties, lists, and workflows",Sayer,Not Started,1.4,Apr 13-18,
1,Contacts & Activity Capture,Wk 1,Apr 13-18,CRM-01,CRM Architecture & Setup,QA: verify all 10 users can log in with correct role and data visibility,Sayer,Not Started,1.4,Apr 13-18,
1,Contacts & Activity Capture,Wk 1,Apr 13-18,CRM-02,Contact & Company Management,Run properties workshop with Jason Wise: map all required custom contact and company fields,Sayer,Not Started,1.2,Apr 13-18,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,"Create custom contact properties (persona, broker type, relationship tier, acquisition focus, etc.)",Sayer,Not Started,1.2,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,"Create custom company properties (entity type, market, PE firm vs. portfolio company, AUM, etc.)",Sayer,Not Started,1.2,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,Configure lifecycle stages for BD pipeline (prospect → active → closed),Sayer,Not Started,1.2,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,Configure lead statuses for pipeline progression,Sayer,Not Started,1.2,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,Build parent-child company hierarchy (PE firm → portfolio company structure),Sayer,Not Started,1.2,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,"Set up association labels: broker, lender, investment partner, evangelist, acquisition target",Sayer,Not Started,1.2,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,"Configure persona picklist options: broker, evangelist, investment partner, lender, competitor",Sayer,Not Started,1.2,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,"Configure deduplication detection rules (match on email, phone, name+company)",Sayer,Not Started,1.2,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,Build active list: acquisition target contacts,Sayer,Not Started,1.2,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,Build active list: broker contacts by office/territory,Sayer,Not Started,1.2,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-02,Contact & Company Management,QA: create 5 sample companies with parent-child relationships and verify associations,Sayer,Not Started,1.2,Apr 21-25,
1,Contacts & Activity Capture,Wk 1,Apr 13-18,MIG-01,Data Migration: Contact Import,Export templates sent to all Milestone team members (complete — sent Apr 10),Shared,Not Started,1.6,Apr 13-18,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,MIG-01,Data Migration: Contact Import,"Receive Outlook contact exports from Jason, Robert, David, Rich, Jim (target: Apr 18, hard deadline: Apr 25)",Client,Not Started,1.6,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,MIG-01,Data Migration: Contact Import,Receive Zoho CRM export (contacts and associated notes only; other Zoho modules excluded),Client,Not Started,1.6,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,MIG-01,Data Migration: Contact Import,"Audit received data: record counts per source, field coverage gaps",Shared,Not Started,1.6,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,MIG-01,Data Migration: Contact Import,Build field mapping matrix: source columns → HubSpot property IDs,Shared,Not Started,1.6,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,MIG-01,Data Migration: Contact Import,"Define duplicate handling rules with Jason Wise (owner priority, cross-office contact logic)",Shared,Not Started,1.6,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,MIG-01,Data Migration: Contact Import,Define contact ownership assignment rules by office/territory,Shared,Not Started,1.6,Apr 21-25,
1,Contacts & Activity Capture,Wk 3,Apr 28 - May 1,MIG-01,Data Migration: Contact Import,"Clean and normalize data: standardize company names, phone formats, email validation",Shared,Not Started,1.6,Apr 28 - May 1,
1,Contacts & Activity Capture,Wk 3,Apr 28 - May 1,MIG-01,Data Migration: Contact Import,"Deduplicate in staging: apply ownership rules, flag unresolvable conflicts for manual review",Shared,Not Started,1.6,Apr 28 - May 1,
1,Contacts & Activity Capture,Wk 3,Apr 28 - May 1,MIG-01,Data Migration: Contact Import,Execute test load: ~500 contacts,Shared,Not Started,1.6,Apr 28 - May 1,
1,Contacts & Activity Capture,Wk 3,Apr 28 - May 1,MIG-01,Data Migration: Contact Import,"Review test load results with Jason Wise: duplicate rate, field mapping, ownership accuracy",Shared,Not Started,1.6,Apr 28 - May 1,
1,Contacts & Activity Capture,Wk 3,Apr 28 - May 1,MIG-01,Data Migration: Contact Import,Fix mapping or deduplication issues identified in test load,Shared,Not Started,1.6,Apr 28 - May 1,
1,Contacts & Activity Capture,Wk 4,May 4-8,MIG-01,Data Migration: Contact Import,Execute full production import,Shared,Not Started,1.6,May 4-8,
1,Contacts & Activity Capture,Wk 4,May 4-8,MIG-01,Data Migration: Contact Import,"Post-migration QA: verify record count, associations, and owner assignments",Shared,Not Started,1.6,May 4-8,
1,Contacts & Activity Capture,Wk 4,May 4-8,MIG-01,Data Migration: Contact Import,"Deliver migration summary to Jason Wise (record counts, duplicate rate, sources)",Shared,Not Started,1.6,May 4-8,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-05,Email & Communication Setup,Obtain Microsoft 365 admin credentials from Milestone,Sayer,Not Started,1.4,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-05,Email & Communication Setup,Configure email tracking domain settings in HubSpot,Sayer,Not Started,1.4,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-05,Email & Communication Setup,"Connect each user's Outlook inbox to HubSpot (10 users, 10 connections)",Sayer,Not Started,1.4,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-05,Email & Communication Setup,"Configure email tracking settings per user (auto-log, open tracking, click tracking)",Sayer,Not Started,1.4,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-05,Email & Communication Setup,"Set up email domain exclusion rules (internal @milestonegroup.com, personal domains)",Sayer,Not Started,1.4,Apr 21-25,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-05,Email & Communication Setup,Configure auto-association rules (link emails to contacts and deals automatically),Sayer,Not Started,1.4,Apr 21-25,
1,Contacts & Activity Capture,Wk 3,Apr 28 - May 1,CRM-05,Email & Communication Setup,"QA: send test emails, verify activity logs appear on contact records",Sayer,Not Started,1.4,Apr 28 - May 1,
1,Contacts & Activity Capture,Wk 3,Apr 28 - May 1,CRM-05,Email & Communication Setup,Document user-by-user connection status and any per-user configuration issues,Sayer,Not Started,1.4,Apr 28 - May 1,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,INT-02,Integration: Outlook Calendar & Contact Sync,Configure Outlook Calendar sync in HubSpot (App Marketplace → Microsoft Calendar),Sayer,Not Started,1.1,Apr 21-25,
1,Contacts & Activity Capture,Wk 3,Apr 28 - May 1,INT-02,Integration: Outlook Calendar & Contact Sync,Set sync permissions: define which calendar events log to CRM (external meetings only vs. all),Sayer,Not Started,1.1,Apr 28 - May 1,
1,Contacts & Activity Capture,Wk 3,Apr 28 - May 1,INT-02,Integration: Outlook Calendar & Contact Sync,Configure meeting auto-log rules: attendee matching to HubSpot contacts,Sayer,Not Started,1.1,Apr 28 - May 1,
1,Contacts & Activity Capture,Wk 3,Apr 28 - May 1,INT-02,Integration: Outlook Calendar & Contact Sync,Set up Outlook contact sync rules (HubSpot wins on conflict),Sayer,Not Started,1.1,Apr 28 - May 1,
1,Contacts & Activity Capture,Wk 3,Apr 28 - May 1,INT-02,Integration: Outlook Calendar & Contact Sync,"QA: create test meeting, verify it appears on contact timeline",Sayer,Not Started,1.1,Apr 28 - May 1,
1,Contacts & Activity Capture,Wk 3,Apr 28 - May 1,INT-02,Integration: Outlook Calendar & Contact Sync,Complete per-user calendar sync validation across all 10 users,Sayer,Not Started,1.1,Apr 28 - May 1,
1,Contacts & Activity Capture,Wk 3,Apr 28 - May 1,INT-02,Integration: Outlook Calendar & Contact Sync,"Document known limitations: sync latency, contact match rules, known edge cases",Sayer,Not Started,1.1,Apr 28 - May 1,
1,Contacts & Activity Capture,Wk 2,Apr 21-25,CRM-04,Automations & Workflows,Workflow requirements session with Jason Wise: confirm all 8 automation use cases,Sayer,Not Started,1.6,Apr 21-25,
1,Contacts & Activity Capture,Wk 3,Apr 28 - May 1,CRM-04,Automations & Workflows,WF1: Auto-log activity — trigger email/meeting logs on contact records,Sayer,Not Started,1.6,Apr 28 - May 1,
1,Contacts & Activity Capture,Wk 3,Apr 28 - May 1,CRM-04,Automations & Workflows,WF2: Auto-contact creation — create contact from new Outlook email (with domain exclusions),Sayer,Not Started,1.6,Apr 28 - May 1,
1,Contacts & Activity Capture,Wk 3,Apr 28 - May 1,CRM-04,Automations & Workflows,WF3: Follow-up reminder — 30-day no-activity task trigger,Sayer,Not Started,1.6,Apr 28 - May 1,
1,Contacts & Activity Capture,Wk 3,Apr 28 - May 1,CRM-04,Automations & Workflows,WF4: Domain exclusion filter — suppress @milestonegroup.com and personal email interactions,Sayer,Not Started,1.6,Apr 28 - May 1,
1,Contacts & Activity Capture,Wk 3,Apr 28 - May 1,CRM-04,Automations & Workflows,WF5: Lead routing — assign owner by office/territory on contact creation,Sayer,Not Started,1.6,Apr 28 - May 1,
1,Contacts & Activity Capture,Wk 4,May 4-8,CRM-04,Automations & Workflows,WF6: Deal stage notification — notify owner when deal advances to a new stage,Sayer,Not Started,1.6,May 4-8,
1,Contacts & Activity Capture,Wk 4,May 4-8,CRM-04,Automations & Workflows,WF7–WF8: TBD — confirm with Jason Wise in working session,Sayer,Not Started,1.6,May 4-8,
1,Contacts & Activity Capture,Wk 4,May 4-8,CRM-04,Automations & Workflows,"QA: test each workflow with sample data (triggers, actions, enrollment criteria)",Sayer,Not Started,1.6,May 4-8,
1,Contacts & Activity Capture,Wk 4,May 4-8,CRM-04,Automations & Workflows,Fix bugs identified in workflow testing,Sayer,Not Started,1.6,May 4-8,
1,Contacts & Activity Capture,Wk 4,May 4-8,CRM-04,Automations & Workflows,"Document each workflow: trigger logic, actions, and admin contact for changes",Sayer,Not Started,1.6,May 4-8,
2,Deal Pipeline & Reporting,Wk 5,May 11-15,CRM-03,Pipeline & Deal Management,"Pipeline design session with Jason Wise: confirm deal stages, required fields, and qualification criteria",Sayer,Not Started,0.9,May 11-15,
2,Deal Pipeline & Reporting,Wk 5,May 11-15,CRM-03,Pipeline & Deal Management,Create deal pipeline with confirmed stage names (4–6 stages),Sayer,Not Started,0.9,May 11-15,
2,Deal Pipeline & Reporting,Wk 5,May 11-15,CRM-03,Pipeline & Deal Management,Configure required fields per stage (stage gate enforcement),Sayer,Not Started,0.9,May 11-15,
2,Deal Pipeline & Reporting,Wk 5,May 11-15,CRM-03,Pipeline & Deal Management,"Create custom deal properties (property type, investment thesis, acquisition target, market, etc.)",Sayer,Not Started,0.9,May 11-15,
2,Deal Pipeline & Reporting,Wk 5,May 11-15,CRM-03,Pipeline & Deal Management,Configure deal owner assignment rules,Sayer,Not Started,0.9,May 11-15,
2,Deal Pipeline & Reporting,Wk 5,May 11-15,CRM-03,Pipeline & Deal Management,Set up deal views and filters by office/team,Sayer,Not Started,0.9,May 11-15,
2,Deal Pipeline & Reporting,Wk 5,May 11-15,CRM-03,Pipeline & Deal Management,"Configure multi-party associations: broker, lender, owner, and acquisition target linked to deals",Sayer,Not Started,0.9,May 11-15,
2,Deal Pipeline & Reporting,Wk 6,May 18-22,CRM-03,Pipeline & Deal Management,Set up auto-link rules: associate contacts by role when added to a deal,Sayer,Not Started,0.9,May 18-22,
2,Deal Pipeline & Reporting,Wk 6,May 18-22,CRM-03,Pipeline & Deal Management,Configure deal close date requirements and stage progression rules,Sayer,Not Started,0.9,May 18-22,
2,Deal Pipeline & Reporting,Wk 6,May 18-22,CRM-03,Pipeline & Deal Management,"QA: run 3 sample deals through pipeline, verify stage gates enforce required fields",Sayer,Not Started,0.9,May 18-22,
2,Deal Pipeline & Reporting,Wk 6,May 18-22,CRM-03,Pipeline & Deal Management,QA: verify multi-party associations work correctly on sample deals,Sayer,Not Started,0.9,May 18-22,
2,Deal Pipeline & Reporting,Wk 6,May 18-22,CRM-03,Pipeline & Deal Management,Fix any pipeline configuration issues identified in QA,Sayer,Not Started,0.9,May 18-22,
2,Deal Pipeline & Reporting,Wk 5,May 11-15,CRM-06,Reporting & Dashboards,Reporting requirements session with Jason Wise: confirm dashboard priorities and key metrics,Sayer,Not Started,0.9,May 11-15,
2,Deal Pipeline & Reporting,Wk 5,May 11-15,CRM-06,Reporting & Dashboards,"BD Activity Dashboard — Report: activity by rep (calls, meetings, emails this week/month)",Sayer,Not Started,0.9,May 11-15,
2,Deal Pipeline & Reporting,Wk 6,May 18-22,CRM-06,Reporting & Dashboards,BD Activity Dashboard — Report: activity by office/territory,Sayer,Not Started,0.9,May 18-22,
2,Deal Pipeline & Reporting,Wk 6,May 18-22,CRM-06,Reporting & Dashboards,BD Activity Dashboard — Report: top reps by contact touches,Sayer,Not Started,0.9,May 18-22,
2,Deal Pipeline & Reporting,Wk 5,May 11-15,CRM-06,Reporting & Dashboards,Contact Engagement Dashboard — Report: lifecycle stage distribution,Sayer,Not Started,0.9,May 11-15,
2,Deal Pipeline & Reporting,Wk 6,May 18-22,CRM-06,Reporting & Dashboards,Contact Engagement Dashboard — Report: contacts with no activity in 30+ days,Sayer,Not Started,0.9,May 18-22,
2,Deal Pipeline & Reporting,Wk 6,May 18-22,CRM-06,Reporting & Dashboards,Contact Engagement Dashboard — Report: contacts created by source (migration vs. organic),Sayer,Not Started,0.9,May 18-22,
2,Deal Pipeline & Reporting,Wk 6,May 18-22,CRM-06,Reporting & Dashboards,Deal Pipeline Dashboard — Report: pipeline by stage (count),Sayer,Not Started,0.9,May 18-22,
2,Deal Pipeline & Reporting,Wk 6,May 18-22,CRM-06,Reporting & Dashboards,Deal Pipeline Dashboard — Report: deal age by stage,Sayer,Not Started,0.9,May 18-22,
2,Deal Pipeline & Reporting,Wk 6,May 18-22,CRM-06,Reporting & Dashboards,Deal Pipeline Dashboard — Report: new deals this month by owner,Sayer,Not Started,0.9,May 18-22,
2,Deal Pipeline & Reporting,Wk 6,May 18-22,CRM-06,Reporting & Dashboards,Configure scheduled report email delivery to Jason Wise (weekly digest),Sayer,Not Started,0.9,May 18-22,
2,Deal Pipeline & Reporting,Wk 6,May 18-22,CRM-06,Reporting & Dashboards,Review all dashboards with Jason Wise: confirm metrics are reading correctly,Sayer,Not Started,0.9,May 18-22,
2,Deal Pipeline & Reporting,Wk 6,May 18-22,CRM-06,Reporting & Dashboards,Adjust reports based on feedback,Sayer,Not Started,0.9,May 18-22,
2,Deal Pipeline & Reporting,Wk 6,May 18-22,CRM-06,Reporting & Dashboards,Document report definitions and how to read each metric,Sayer,Not Started,0.9,May 18-22,
3,"Integrations, Training & Go-Live",Wk 7,May 25-29,INT-01,Integration: Fireflies,Confirm Fireflies subscription status and API access with Jason Wise (client action — required before configuration),Client,Not Started,1.0,May 25-29,
3,"Integrations, Training & Go-Live",Wk 7,May 25-29,INT-01,Integration: Fireflies,Connect Fireflies to HubSpot: authenticate in Fireflies dashboard,Sayer,Not Started,1.0,May 25-29,
3,"Integrations, Training & Go-Live",Wk 7,May 25-29,INT-01,Integration: Fireflies,Configure auto-logging rules: define which meetings log to CRM,Sayer,Not Started,1.0,May 25-29,
3,"Integrations, Training & Go-Live",Wk 7,May 25-29,INT-01,Integration: Fireflies,Configure contact matching logic: match meeting participants to HubSpot records by email,Sayer,Not Started,1.0,May 25-29,
3,"Integrations, Training & Go-Live",Wk 7,May 25-29,INT-01,Integration: Fireflies,Set up activity note creation: transcript summary auto-created on contact record,Sayer,Not Started,1.0,May 25-29,
3,"Integrations, Training & Go-Live",Wk 7,May 25-29,INT-01,Integration: Fireflies,"Configure meeting type tagging (BD vs. internal, deal-related vs. relationship-building)",Sayer,Not Started,1.0,May 25-29,
3,"Integrations, Training & Go-Live",Wk 7,May 25-29,INT-01,Integration: Fireflies,"QA: run 2–3 test meetings, verify transcripts appear on correct contact records",Sayer,Not Started,1.0,May 25-29,
3,"Integrations, Training & Go-Live",Wk 7,May 25-29,INT-01,Integration: Fireflies,"Validate contact matching edge cases (new contacts, partial email matches)",Sayer,Not Started,1.0,May 25-29,
3,"Integrations, Training & Go-Live",Wk 7,May 25-29,INT-01,Integration: Fireflies,Document known limitations and troubleshooting steps for admin,Sayer,Not Started,1.0,May 25-29,
3,"Integrations, Training & Go-Live",Wk 7,May 25-29,TRN-01,Training: Admin,Identify 1–2 admin champions at Milestone,Sayer,Not Started,1.6,May 25-29,
3,"Integrations, Training & Go-Live",Wk 7,May 25-29,TRN-01,Training: Admin,Build admin training agenda and materials,Sayer,Not Started,1.6,May 25-29,
3,"Integrations, Training & Go-Live",Wk 7,May 25-29,TRN-01,Training: Admin,"Training Session 1 (90 min): portal settings, user management, properties, lists",Sayer,Not Started,1.6,May 25-29,
3,"Integrations, Training & Go-Live",Wk 7,May 25-29,TRN-01,Training: Admin,"Training Session 2 (90 min): workflows, reports, troubleshooting common issues",Sayer,Not Started,1.6,May 25-29,
3,"Integrations, Training & Go-Live",Wk 8,Jun 1-5,TRN-01,Training: Admin,Admin Q&A and sign-off: confirm admins can perform key tasks independently,Sayer,Not Started,1.6,Jun 1-5,
3,"Integrations, Training & Go-Live",Wk 7,May 25-29,TRN-02,Training: End Users,"Build end-user training materials (designed for varying tech comfort, ages 25–65)",Sayer,Not Started,1.8,May 25-29,
3,"Integrations, Training & Go-Live",Wk 8,Jun 1-5,TRN-02,Training: End Users,"Training Session 1 (60 min): daily CRM usage — contacts, activity feed, task management",Sayer,Not Started,1.8,Jun 1-5,
3,"Integrations, Training & Go-Live",Wk 8,Jun 1-5,TRN-02,Training: End Users,"Training Session 2 (60 min): deal pipeline — creating deals, advancing stages, associating contacts",Sayer,Not Started,1.8,Jun 1-5,
3,"Integrations, Training & Go-Live",Wk 8,Jun 1-5,TRN-02,Training: End Users,Training Session 3 (45 min): mobile app setup and on-the-go workflows,Sayer,Not Started,1.8,Jun 1-5,
3,"Integrations, Training & Go-Live",Wk 8,Jun 1-5,TRN-02,Training: End Users,Record all sessions for async reference and future new-hire onboarding,Sayer,Not Started,1.8,Jun 1-5,
3,"Integrations, Training & Go-Live",Wk 8,Jun 1-5,TRN-02,Training: End Users,Collect training feedback from attendees,Sayer,Not Started,1.8,Jun 1-5,
3,"Integrations, Training & Go-Live",Wk 7,May 25-29,UAT-01,UAT & Go-Live,Create UAT test scripts covering all configured workstreams (CRM-01 through INT-01),Shared,Not Started,0.9,May 25-29,
3,"Integrations, Training & Go-Live",Wk 8,Jun 1-5,UAT-01,UAT & Go-Live,Share test scripts with Jason Wise and Robert Strong before UAT session,Shared,Not Started,0.9,Jun 1-5,
3,"Integrations, Training & Go-Live",Wk 8,Jun 1-5,UAT-01,UAT & Go-Live,"UAT Session 1: power users (Jason, Robert) — walk through test scripts, log issues",Shared,Not Started,0.9,Jun 1-5,
3,"Integrations, Training & Go-Live",Wk 8,Jun 1-5,UAT-01,UAT & Go-Live,Triage bugs from Session 1: classify as critical / high / low,Shared,Not Started,0.9,Jun 1-5,
3,"Integrations, Training & Go-Live",Wk 8,Jun 1-5,UAT-01,UAT & Go-Live,Fix critical and high-priority bugs from Session 1,Shared,Not Started,0.9,Jun 1-5,
3,"Integrations, Training & Go-Live",Wk 8,Jun 1-5,UAT-01,UAT & Go-Live,UAT Session 2: full team (all offices) — role-specific flows and general walkthrough,Shared,Not Started,0.9,Jun 1-5,
3,"Integrations, Training & Go-Live",Wk 8,Jun 1-5,UAT-01,UAT & Go-Live,Fix remaining critical bugs from Session 2,Shared,Not Started,0.9,Jun 1-5,
3,"Integrations, Training & Go-Live",Wk 8,Jun 1-5,UAT-01,UAT & Go-Live,Kyle Harbuck sign-off: UAT complete,Sayer / Client,Not Started,0.9,Jun 1-5,
3,"Integrations, Training & Go-Live",Wk 8,Jun 1-5,UAT-01,UAT & Go-Live,Jason Wise sign-off: UAT complete,Sayer / Client,Not Started,0.9,Jun 1-5,
3,"Integrations, Training & Go-Live",Wk 8,Jun 1-5,UAT-01,UAT & Go-Live,"Execute go-live: confirm all users active, send go-live announcement to Milestone team",Shared,Not Started,0.9,Jun 1-5,
3,"Integrations, Training & Go-Live",Wk 8,Jun 1-5,UAT-01,UAT & Go-Live,"Hypercare Week 1: daily monitoring, user questions, fix adoption blockers",Shared,Not Started,0.9,Jun 1-5,
3,"Integrations, Training & Go-Live",Wk 9,Jun 8-12,UAT-01,UAT & Go-Live,"Hypercare Week 2: monitor usage, close out remaining open items",Shared,Not Started,0.9,Jun 8-12,
3,"Integrations, Training & Go-Live",Wk 7,May 25-29,DOC-01,Documentation & SOPs,"Create admin reference guide (settings, user management, workflow editing, troubleshooting)",Sayer,Not Started,1.6,May 25-29,
3,"Integrations, Training & Go-Live",Wk 8,Jun 1-5,DOC-01,Documentation & SOPs,"Create end-user daily workflow guide (logging activity, managing contacts, advancing deals, tasks)",Sayer,Not Started,1.6,Jun 1-5,
3,"Integrations, Training & Go-Live",Wk 8,Jun 1-5,DOC-01,Documentation & SOPs,"Create mobile quick-start guide (app download, setup, key mobile actions)",Sayer,Not Started,1.6,Jun 1-5,
3,"Integrations, Training & Go-Live",Wk 8,Jun 1-5,DOC-01,Documentation & SOPs,"Create CRM hygiene guide: weekly review process (contact cleanup, deal updates, task completion)",Sayer,Not Started,1.6,Jun 1-5,
3,"Integrations, Training & Go-Live",Wk 8,Jun 1-5,DOC-01,Documentation & SOPs,Deliver all documentation to Jason Wise in shared Google Drive data room,Sayer,Not Started,1.6,Jun 1-5,
1,Contacts & Activity Capture,,Apr 13,PM-01,Project Management,Weekly standup (first),Sayer,Not Started,,Apr 13,
1,Contacts & Activity Capture,,Apr 20,PM-01,Project Management,Weekly standup,Sayer,Not Started,,Apr 20,
1,Contacts & Activity Capture,,Apr 27,PM-01,Project Management,Weekly standup,Sayer,Not Started,,Apr 27,
2,Deal Pipeline & Reporting,,May 4,PM-01,Project Management,Weekly standup,Sayer,Not Started,,May 4,
2,Deal Pipeline & Reporting,,May 8,PM-01,Project Management,Phase 1 Review (45 min — full group),Sayer,Not Started,,May 8,
2,Deal Pipeline & Reporting,,May 11,PM-01,Project Management,Weekly standup,Sayer,Not Started,,May 11,
2,Deal Pipeline & Reporting,,May 18,PM-01,Project Management,Weekly standup,Sayer,Not Started,,May 18,
2,Deal Pipeline & Reporting,,May 22,PM-01,Project Management,Phase 2 Review (45 min — full group),Sayer,Not Started,,May 22,
3,"Integrations, Training & Go-Live",,May 25,PM-01,Project Management,Weekly standup,Sayer,Not Started,,May 25,
3,"Integrations, Training & Go-Live",,Jun 1,PM-01,Project Management,Weekly standup,Sayer,Not Started,,Jun 1,
3,"Integrations, Training & Go-Live",,Jun 12,PM-01,Project Management,Phase 3 Review / Go-Live (45 min),Sayer,Not Started,,Jun 12,
3,"Integrations, Training & Go-Live",,Jun 26,PM-01,Project Management,Internal Retro (45 min — Sayer only),Sayer,Not Started,,Jun 26,
